Parent Company,Country,count
GUNUNG SEJAHTERA DUA INDAH,Indonesia,1
PT. HHK SUNGAI BILA ESTATE,Indonesia,1
MULTI PALMA SEJAHTERA,Indonesia,1
SAWITA UNGGUL JAYA,Indonesia,1
DAYA SEMESTA AGRO PERSADA,Indonesia,1
GUNUNG SEJAHTERA PUTI PESONA,Indonesia,1
GUNUNG SEJAHTERA IBU PERTIWI,Indonesia,1
SAPTA SENTOSA JAYA ABADI,Indonesia,1
RAPI TEKNIK,Indonesia,1
FORTIUS AGRO ASIA,Indonesia,1
BUMITAMA GUNAJAYA ABADI,Indonesia,1
MUSIRAWAS CITRA HARPINDO,Indonesia,1
ALAMRAYA KENCANA MAS,Indonesia,1
NAFASINDO,Indonesia,1
INTI KARYA PLASMA PERKASA,Indonesia,1
HUTA BAYU MARSADA,Indonesia,1
HARKAT SEJAHTERA,Indonesia,1
BUDI TANI KEMBANG JAYA,Indonesia,1
